bucket,window_index,test_start,test_end,validation_start,validation_end,formation_start,formation_end,n_candidate_tests,n_fdr_survivors,no_trade,used_fallback,selected_pair,entry_z,exit_abs_z,trailing_z_window,kalman_process_variance
dev_formation,0,2017-07-05,2017-10-02,2017-01-03,2017-07-03,2015-01-02,2016-12-30,46,0,True,False,,,,,
dev_formation,1,2017-10-03,2018-01-02,2017-04-04,2017-10-02,2015-04-06,2017-04-03,46,1,False,True,XLP/XLU,2.0,0.5,40,0.0001
dev_formation,2,2018-01-03,2018-04-04,2017-07-05,2018-01-02,2015-07-06,2017-07-03,46,1,False,True,XLP/XLU,2.0,0.5,40,0.0001
dev_formation,3,2018-04-05,2018-07-03,2017-10-03,2018-04-04,2015-10-02,2017-10-02,46,1,False,True,XLP/XLU,2.0,0.5,40,0.0001
dev_formation,4,2018-07-05,2018-10-02,2018-01-03,2018-07-03,2016-01-04,2018-01-02,55,1,False,True,XLU/XLV,2.0,0.5,40,0.0001
dev_formation,5,2018-10-03,2019-01-03,2018-04-05,2018-10-02,2016-04-05,2018-04-04,55,0,True,False,,,,,
dev_formation,6,2019-01-04,2019-04-04,2018-07-05,2019-01-03,2016-07-05,2018-07-03,55,0,True,False,,,,,
dev_formation,7,2019-04-05,2019-07-05,2018-10-03,2019-04-04,2016-10-03,2018-10-02,55,0,True,False,,,,,
dev_formation,8,2019-07-08,2019-10-03,2019-01-04,2019-07-05,2017-01-03,2019-01-03,55,0,True,False,,,,,
dev_formation,9,2019-10-04,2020-01-03,2019-04-05,2019-10-03,2017-04-04,2019-04-04,55,0,True,False,,,,,
dev_formation,10,2020-01-06,2020-04-03,2019-07-08,2020-01-03,2017-07-05,2019-07-05,55,0,True,False,,,,,
dev_formation,11,2020-04-06,2020-07-06,2019-10-04,2020-04-03,2017-10-03,2019-10-03,55,0,True,False,,,,,
dev_formation,12,2020-07-07,2020-10-02,2020-01-06,2020-07-06,2018-01-03,2020-01-03,55,0,True,False,,,,,
dev_formation,13,2020-10-05,2021-01-04,2020-04-06,2020-10-02,2018-04-05,2020-04-03,55,0,True,False,,,,,
dev_formation,14,2021-01-05,2021-04-06,2020-07-07,2021-01-04,2018-07-05,2020-07-06,55,0,True,False,,,,,
dev_formation,15,2021-04-07,2021-07-06,2020-10-05,2021-04-06,2018-10-03,2020-10-02,55,0,True,False,,,,,
dev_formation,16,2021-07-07,2021-10-04,2021-01-05,2021-07-06,2019-01-04,2021-01-04,55,0,True,False,,,,,
dev_formation,17,2021-10-05,2022-01-03,2021-04-07,2021-10-04,2019-04-05,2021-04-06,55,0,True,False,,,,,
dev_formation,18,2022-01-04,2022-04-04,2021-07-07,2022-01-03,2019-07-08,2021-07-06,55,0,True,False,,,,,
dev_formation,19,2022-04-05,2022-07-06,2021-10-05,2022-04-04,2019-10-04,2021-10-04,55,0,True,False,,,,,
dev_formation,20,2022-07-07,2022-10-04,2022-01-04,2022-07-06,2020-01-06,2022-01-03,55,0,True,False,,,,,
dev_formation,21,2022-10-05,2023-01-04,2022-04-05,2022-10-04,2020-04-06,2022-04-04,55,0,True,False,,,,,
dev_formation,22,2023-01-05,2023-04-05,2022-07-07,2023-01-04,2020-07-07,2022-07-06,55,0,True,False,,,,,
dev_formation,23,2023-04-06,2023-07-07,2022-10-05,2023-04-05,2020-10-05,2022-10-04,55,0,True,False,,,,,
dev_formation,24,2023-07-10,2023-10-05,2023-01-05,2023-07-07,2021-01-05,2023-01-04,55,0,True,False,,,,,
boundary_2023_2024,25,2023-10-06,2024-01-05,2023-04-06,2023-10-05,2021-04-07,2023-04-05,55,0,True,False,,,,,
val_2024,26,2024-01-08,2024-04-08,2023-07-10,2024-01-05,2021-07-07,2023-07-07,55,0,True,False,,,,,
val_2024,27,2024-04-09,2024-07-09,2023-10-06,2024-04-08,2021-10-05,2023-10-05,55,0,True,False,,,,,
val_2024,28,2024-07-10,2024-10-07,2024-01-08,2024-07-09,2022-01-04,2024-01-05,55,0,True,False,,,,,
holdout_2025,30,2025-01-08,2025-04-09,2024-07-10,2025-01-07,2022-07-07,2024-07-09,55,0,True,False,,,,,
holdout_2025,31,2025-04-10,2025-07-11,2024-10-08,2025-04-09,2022-10-05,2024-10-07,55,0,True,False,,,,,
holdout_2025,32,2025-07-14,2025-10-09,2025-01-08,2025-07-11,2023-01-05,2025-01-07,55,0,True,False,,,,,
