window_index,formation_start,formation_end,n_formation,validation_start,validation_end,n_validation,test_start,test_end,n_test,test_crosses_year_boundary
0,2015-01-02,2016-12-30,504,2017-01-03,2017-07-03,126,2017-07-05,2017-10-02,63,False
1,2015-04-06,2017-04-03,504,2017-04-04,2017-10-02,126,2017-10-03,2018-01-02,63,True
2,2015-07-06,2017-07-03,504,2017-07-05,2018-01-02,126,2018-01-03,2018-04-04,63,False
3,2015-10-02,2017-10-02,504,2017-10-03,2018-04-04,126,2018-04-05,2018-07-03,63,False
4,2016-01-04,2018-01-02,504,2018-01-03,2018-07-03,126,2018-07-05,2018-10-02,63,False
5,2016-04-05,2018-04-04,504,2018-04-05,2018-10-02,126,2018-10-03,2019-01-03,63,True
6,2016-07-05,2018-07-03,504,2018-07-05,2019-01-03,126,2019-01-04,2019-04-04,63,False
7,2016-10-03,2018-10-02,504,2018-10-03,2019-04-04,126,2019-04-05,2019-07-05,63,False
8,2017-01-03,2019-01-03,504,2019-01-04,2019-07-05,126,2019-07-08,2019-10-03,63,False
9,2017-04-04,2019-04-04,504,2019-04-05,2019-10-03,126,2019-10-04,2020-01-03,63,True
10,2017-07-05,2019-07-05,504,2019-07-08,2020-01-03,126,2020-01-06,2020-04-03,63,False
11,2017-10-03,2019-10-03,504,2019-10-04,2020-04-03,126,2020-04-06,2020-07-06,63,False
12,2018-01-03,2020-01-03,504,2020-01-06,2020-07-06,126,2020-07-07,2020-10-02,63,False
13,2018-04-05,2020-04-03,504,2020-04-06,2020-10-02,126,2020-10-05,2021-01-04,63,True
14,2018-07-05,2020-07-06,504,2020-07-07,2021-01-04,126,2021-01-05,2021-04-06,63,False
15,2018-10-03,2020-10-02,504,2020-10-05,2021-04-06,126,2021-04-07,2021-07-06,63,False
16,2019-01-04,2021-01-04,504,2021-01-05,2021-07-06,126,2021-07-07,2021-10-04,63,False
17,2019-04-05,2021-04-06,504,2021-04-07,2021-10-04,126,2021-10-05,2022-01-03,63,True
18,2019-07-08,2021-07-06,504,2021-07-07,2022-01-03,126,2022-01-04,2022-04-04,63,False
19,2019-10-04,2021-10-04,504,2021-10-05,2022-04-04,126,2022-04-05,2022-07-06,63,False
20,2020-01-06,2022-01-03,504,2022-01-04,2022-07-06,126,2022-07-07,2022-10-04,63,False
21,2020-04-06,2022-04-04,504,2022-04-05,2022-10-04,126,2022-10-05,2023-01-04,63,True
22,2020-07-07,2022-07-06,504,2022-07-07,2023-01-04,126,2023-01-05,2023-04-05,63,False
23,2020-10-05,2022-10-04,504,2022-10-05,2023-04-05,126,2023-04-06,2023-07-07,63,False
24,2021-01-05,2023-01-04,504,2023-01-05,2023-07-07,126,2023-07-10,2023-10-05,63,False
25,2021-04-07,2023-04-05,504,2023-04-06,2023-10-05,126,2023-10-06,2024-01-05,63,True
26,2021-07-07,2023-07-07,504,2023-07-10,2024-01-05,126,2024-01-08,2024-04-08,63,False
27,2021-10-05,2023-10-05,504,2023-10-06,2024-04-08,126,2024-04-09,2024-07-09,63,False
28,2022-01-04,2024-01-05,504,2024-01-08,2024-07-09,126,2024-07-10,2024-10-07,63,False
